Age	Income	LoanAmount	Duration	CreditScore	NumCreditCards	YearsAtJob	DebtRatio	Class
28.9810715401498	37685.1995432	6605.96190560021	31	631.073550273193	0	5.04995061475301	8.72755010520243	Good
25.0630140890129	45391.1415051704	12871.5636817373	29	646.74387629995	2	8.80342891042776	22.081391668355	Good
45.267850560749	36468.529871908	6477.42736855536	18	697.64128532353	1	5.68692306736729	1.50464501814696	Good
42.5106130260632	59406.0311467248	7330.07971385032	23	444.346793321352	2	2.72169121642926	13.0592288433706	Good
19.908334626713	66805.3254263916	13871.9230330883	29	731.032056740818	3	5.57151208509178	28.9934095915807	Good
34.0485254915071	81908.2032874029	7621.89302330599	22	507.314362002284	1	4.12434387371113	20.1650986589824	Good
26.040521772435	55491.7157439758	9877.86310556575	18	622.341807772591	4	6.50687252179141	30.094053711468	Good
14.2924892945804	36878.2793420947	15095.0404814218	31	774.218972462404	0	5.40994733135686	11.0964653596132	Good
36.5012013118814	65367.1229448984	3972.09802200722	27	623.301089607571	0	4.37665471729657	38.1611289351708	Good
34.2078829074141	63571.3834054296	17976.4693373602	14	532.369999383742	3	8.763341950371	30.7744703368769	Good
34.0263073248692	46426.2695614576	20209.777299965	24	558.825745865857	3	2.67667143532166	37.059968692472	Bad
37.1615254180123	26632.1764419153	13072.4062502165	12	594.726143816662	3	2.50156453641968	23.9086100399432	Good
43.8246516439659	61419.6484309087	12109.6558706841	23	498.740803560373	3	3.51311699251019	46.2686981334808	Good
37.0559750448339	66937.1659346244	7517.89166153386	24	597.529826320281	2	4.36149831730526	47.6595750922937	Good
28.8356415712647	45573.382539411	12454.8070641302	27	591.822712177704	2	2.66422818637971	46.7320070839206	Good
27.6520074807872	58043.6422753704	7490.08915198243	26	578.138975610993	5	6.49237079760137	25.245161428592	Good
33.6819720695882	45861.6428787423	11440.8490912581	29	638.780605657503	1	3.6255296838186	26.8282861396763	Good
38.1001698657895	60234.7286770627	6566.86995879436	22	592.958847757143	2	4.55983641318949	9.82097966561766	Good
24.6031964729796	48240.6392792773	13942.0189301525	14	552.962097304819	1	3.40536851215212	26.450711416709	Good
33.1569113115762	44829.8620411991	13456.8442048184	30	552.398990569239	3	6.30583620245442	32.3284135817336	Bad
44.6726726016791	51674.3074729582	16214.9950402566	33	544.444041124931	5	7.0127799903332	43.4442439162161	Good
33.9171990876551	45748.9202752656	19911.0485621458	29	544.186483021731	1	5.29911426554828	28.9393918676796	Good
